Rank2016,Airport,City served,Country,Passengers2016,Passengers2015,Change 2016-2015-Num,Change 2016-2015-%
1,Heathrow Airport,London,United Kingdom,75711130,74985475,725655,"%0,97"
2,Charles de Gaulle Airport,Paris,France,65933145,65766986,166159,"%0,25"
3,Amsterdam Airport Schiphol,Amsterdam,Netherlands,63625664,58284848,5340816,"%9,16"
4,Frankfurt Airport,Frankfurt,Germany,60786937,61032022,-245085,"-%0,40"
5,Istanbul Atatürk Airport,Istanbul,Turkey,60415470,61322729,-907259,"-%1,48"
6,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,50420583,46824838,3595745,"%7,68"
7,Barcelona–El Prat Josep Tarradellas Airport,Barcelona,Spain,44154693,39711237,4443456,"%11,19"
8,Gatwick Airport,London,United Kingdom,43119628,40269087,2850541,"%7,08"
9,Munich Airport,Munich,Germany,42261309,40981522,1279787,"%3,12"
10,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,41744769,40463208,1281561,"%3,17"
11,Sheremetyevo International Airport,Moscow,Russia,33679052,31302068,2376984,"%7,59"
12,Orly Airport,Paris,France,31237865,29664993,1572872,"%5,30"
13,Copenhagen Airport,Copenhagen,Denmark,29043287,26610332,2432955,"%9,14"
14,Domodedovo International Airport,Moscow,Russia,28500259,30504515,-2004256,"-%6,57"
15,Dublin Airport,Dublin,Ireland,27907384,25049319,2858065,"%11,41"
16,Zurich Airport,Zürich,Switzerland,27666428,26281228,1385200,"%5,27"
17,Palma de Mallorca Airport,Palma de Mallorca,Spain,26253882,23745023,2508859,"%10,57"
18,Oslo Airport,Oslo,Norway,25787691,24678195,1109496,"%4,50"
19,Manchester Airport,Manchester,United Kingdom,25637054,23136047,2501007,"%10,81"
20,Stockholm Arlanda Airport,Stockholm,Sweden,24682466,23142536,1539930,"%6,65"
21,London Stansted Airport,London,United Kingdom,24320071,22519178,1800893,"%8,00"
22,Düsseldorf Airport,Düsseldorf,Germany,23521919,22476685,1045234,"%4,65"
23,Vienna International Airport,Vienna,Austria,23352016,22775054,576962,"%2,53"
24,Lisbon Airport,Lisbon,Portugal,22449289,20090418,2358871,"%11,74"
25,Brussels Airport,Brussels,Belgium,21818418,23460018,-1641600,"-%7,00"
26,Berlin Tegel Airport,Berlin,Germany,21253959,21005196,248763,"%1,18"
27,Athens International Airport,Athens,Greece,20017530,18087377,1930153,"%10,67"
28,Malpensa Airport,Milan,Italy,19420690,18582043,838647,"%4,51"
29,Helsinki Airport,Helsinki,Finland,17184681,16422266,762415,"%4,64"
30,Málaga Airport,Málaga,Spain,16672776,14404206,2268570,"%15,75"
31,Geneva Airport,Geneva,Switzerland,16532690,15772081,760609,"%4,82"
32,Hamburg Airport,Hamburg,Germany,16224154,15610072,614082,"%3,93"
33,Luton Airport,London,United Kingdom,14551774,12263505,2288269,"%18,66"
34,Vnukovo International Airport,Moscow,Russia,13946688,15815129,-1868441,"-%11,81"
35,Pulkovo Airport,Saint Petersburg,Russia,13265037,13501454,-236417,"-%1,75"
36,Václav Havel Airport Prague,Prague,Czech Republic,13074517,12030928,1043589,"%8,67"
37,Warsaw Chopin Airport,Warsaw,Poland,12795356,11186688,1608668,"%14,38"
38,Nice Côte d'Azur Airport,Nice,France,12427427,12016730,410697,"%3,42"
39,Edinburgh Airport,Edinburgh,United Kingdom,12348425,11114587,1233838,"%11,10"
40,Alicante Airport,Alicante,Spain,12344945,10575288,1769657,"%16,73"
41,Cologne Bonn Airport,Cologne / Bonn,Germany,11910138,10338375,1571763,"%15,20"
42,Berlin Schönefeld Airport,Berlin,Germany,11652922,8526268,3126654,"%36,67"
43,Birmingham Airport,Birmingham,United Kingdom,11645334,10187122,1458212,"%14,31"
44,Budapest Ferenc Liszt International Airport,Budapest,Hungary,11441999,10298963,1143036,"%11,10"
45,Orio al Serio International Airport,Milan / Bergamo,Italy,11159631,10404625,755006,"%7,26"
46,Henri Coandă International Airport,Bucharest,Romania,10982967,9274629,1708338,"%18,42"
47,Stuttgart Airport,Stuttgart,Germany,10626430,10512225,114205,"%1,09"
48,Linate Airport,Milan,Italy,9682264,9689635,-7371,"-%0,08"
