Rank2017,Airport,City served,Country,Passengers2017,Passengers2016,Change 2017–2016-Num,Change 2017-2016-%
1,Heathrow Airport,London,United Kingdom,78012825,75711130,2301695,"%3,04"
2,Charles de Gaulle Airport,Paris,France,69471442,65933145,3538297,"%5,37"
3,Amsterdam Airport Schiphol,Amsterdam,Netherlands,68515425,63625664,4889761,"%7,69"
4,Frankfurt am Main Airport,Frankfurt,Germany,64500386,60786937,3713449,"%6,11"
5,Istanbul Atatürk Airport,Istanbul,Turkey,63727448,60415470,3311978,"%5,48"
6,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,53402506,50420583,2981923,"%5,91"
7,Barcelona–El Prat Josep Tarradellas Airport,Barcelona,Spain,47284500,44154693,3129807,"%7,09"
8,Gatwick Airport,London,United Kingdom,45556899,43119628,2437271,"%5,65"
9,Munich Airport,Munich,Germany,44577241,42261309,2315932,"%5,48"
10,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,40971881,41744769,-772888,"-%1,85"
11,Sheremetyevo International Airport,Moscow,Russia,39641443,33655605,5985838,"%17,79"
12,Orly Airport,Paris,France,32042475,31237865,804610,"%2,58"
13,Domodedovo International Airport,Moscow,Russia,30657854,28500259,2157595,"%7,57"
14,Dublin Airport,Dublin,Ireland,29582321,27907384,1674937,"%6,00"
15,Zurich Airport,Zürich,Switzerland,29396094,27666428,1729666,"%6,25"
16,Copenhagen Airport,Copenhagen,Denmark,29177833,29043287,134546,"%0,46"
17,Palma de Mallorca Airport,Palma de Mallorca,Spain,27970655,26253882,1716773,"%6,54"
18,Manchester Airport,Manchester,United Kingdom,27773303,25637054,2136249,"%8,33"
19,Oslo Airport,Oslo,Norway,27482486,25787691,1694795,"%6,57"
20,Lisbon Airport,Lisbon,Portugal,26646079,22449289,4196790,"%18,69"
21,Stockholm Arlanda Airport,Stockholm,Sweden,26623606,24682466,1941140,"%7,86"
22,London Stansted Airport,London,United Kingdom,25904450,24320071,1584379,"%6,51"
23,Brussels Airport,Brussels,Belgium,24783911,21818418,2965493,"%13,59"
24,Düsseldorf Airport,Düsseldorf,Germany,24640564,23521919,1118645,"%4,76"
25,Vienna International Airport,Vienna,Austria,24392805,23352016,1040789,"%4,46"
26,Malpensa Airport,Milan,Italy,22169167,19420690,2748477,"%14,15"
27,Athens International Airport,Athens,Greece,21737787,20017530,1720257,"%8,59"
28,Berlin Tegel Airport,Berlin,Germany,20460688,21253959,-793271,"-%3,73"
29,Helsinki Airport,Helsinki,Finland,18892386,17184681,1707705,"%9,94"
30,Málaga Airport,Málaga,Spain,18628876,16672776,1956100,"%11,73"
31,Vnukovo International Airport,Moscow,Russia,18138865,13946688,4192177,"%30,06"
