Rank2019,Airport,City served,Country,Passengers-2019,Passengers-2018,Change 2019-2018-Num,Change 2019-2018-%
1,Heathrow Airport,London,United Kingdom,80886589,80100311,786278,"%0,98"
2,Charles de Gaulle Airport,Paris,France,76150007,72229723,3920284,"%5,43"
3,Amsterdam Airport Schiphol,Amsterdam,Netherlands,71707144,71053157,653987,"%0,92"
4,Frankfurt am Main Airport,Frankfurt,Germany,70556072,69510269,1045803,"%1,50"
5,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,61734037,57891340,3842697,"%6,64"
6,Josep Tarradellas Barcelona–El Prat Airport,Barcelona,Spain,52686314,50172457,2513857,"%5,01"
7,Istanbul Airport,Istanbul,Turkey,52009220,95205,51914015,"%54528,66"
8,Sheremetyevo International Airport,Moscow,Russia,49438545,45348150,4090395,"%9,02"
9,Munich Airport,Munich,Germany,47941348,46253620,1687728,"%3,65"
10,Gatwick Airport,London,United Kingdom,46574786,46081327,493459,"%1,07"
11,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,43532573,42995119,537454,"%1,25"
12,Dublin Airport,Dublin,Ireland,32907673,31497526,1410147,"%4,48"
13,Orly Airport,Paris,France,31853049,33120685,-1267636,"-%3,83"
14,Vienna International Airport,Vienna,Austria,31662189,27037292,4624897,"%17,11"
15,Zurich Airport,Zürich,Switzerland,31507692,31113488,394204,"%1,27"
16,Lisbon Airport,Lisbon,Portugal,31173000,29031268,2141732,"%7,38"
17,Copenhagen Airport,Copenhagen,Denmark,30256703,30298531,-41828,"-%0,14"
18,Palma de Mallorca Airport,Palma de Mallorca,Spain,29721123,29081787,639336,"%2,20"
19,Manchester Airport,Manchester,United Kingdom,29367477,28254970,1112507,"%3,94"
20,Malpensa Airport,Milan,Italy,28846299,24725490,4120809,"%16,67"
21,"Oslo Airport, Gardermoen",Oslo,Norway,28592619,28518584,74035,"%0,26"
22,Domodedovo International Airport,Moscow,Russia,28252337,29403704,-1151367,"-%3,92"
23,London Stansted Airport,London,United Kingdom,28124292,27995121,129171,"%0,46"
24,Brussels Airport,Brussels,Belgium,26360003,25675939,684064,"%2,66"
25,Stockholm Arlanda Airport,Stockholm,Sweden,25642703,26845419,-1202716,"-%4,48"
26,Athens International Airport,Athens,Greece,25574030,24135736,1438294,"%5,96"
27,Düsseldorf Airport,Düsseldorf,Germany,25507566,24283967,1223599,"%5,04"
28,Berlin Tegel Airport,Berlin,Germany,24227570,22000430,2227140,"%10,12"
29,Vnukovo International Airport,Moscow,Russia,24001521,21478486,2523035,"%11,75"
30,Helsinki Airport,Helsinki,Finland,21861082,20848838,1012244,"%4,86"
31,Málaga Airport,Málaga,Spain,19856299,19021704,834595,"%4,39"
32,Pulkovo Airport,Saint Petersburg,Russia,19581262,18123064,1458198,"%8,05"
