Rank2020,Airport,City served,Country,Passengers-2020,Passengers-2019,Change-2020–2019-Num,Change 2020-2019-%
1,Istanbul Airport,Istanbul,Turkey,23409132,52009220,-28600088,"-%54,99"
2,Charles de Gaulle Airport,Paris,France,22257469,76150007,-53892538,"-%70,77"
3,Heathrow Airport,London,United Kingdom,22109726,80100311,-57990585,"-%72,40"
4,Amsterdam Airport Schiphol,Amsterdam,Netherlands,20887174,71707144,-50819970,"-%70,87"
5,Sheremetyevo International Airport,Moscow,Russia,19566402,49438469,-29872067,"-%60,42"
6,Frankfurt am Main Airport,Frankfurt,Germany,18768601,70560987,-51792386,"-%73,40"
7,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,17112389,61734944,-44622555,"-%72,28"
8,Domodedovo International Airport,Moscow,Russia,16389427,28252337,-11862910,"-%41,99"
9,Josep Tarradellas Barcelona–El Prat Airport,Barcelona,Spain,12739259,52688455,-39949196,"-%75,82"
10,Vnukovo International Airport,Moscow,Russia,12565241,24001521,-11436280,"-%47,65"
11,Munich Airport,Munich,Germany,11120224,47959885,-36839661,"-%76,81"
12,Pulkovo Airport,Saint Petersburg,Russia,10944421,19581262,-8636841,"-%44,11"
13,Orly Airport,Paris,France,10797105,31853049,-21055944,"-%66,10"
14,Gatwick Airport,London,United Kingdom,10171867,46081327,-35909460,"-%77,93"
15,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,9830957,43532573,-33701616,"-%77,42"
16,Lisbon Airport,Lisbon,Portugal,9268000,31172774,-21904774,"-%70,27"
17,"Oslo Airport, Gardermoen",Oslo,Norway,9021729,28592619,-19570890,"-%68,45"
18,Zurich Airport,Zürich,Switzerland,8341047,31507692,-23166645,"-%73,53"
19,Athens International Airport,Athens,Greece,8078383,25573993,-17495610,"-%68,41"
20,Vienna International Airport,Vienna,Austria,7812938,31662189,-23849251,"-%75,32"
21,London Stansted Airport,London,United Kingdom,7543779,28124292,-20580513,"-%73,18"
22,Copenhagen Airport,Copenhagen,Denmark,7525441,30256703,-22731262,"-%75,13"
23,Dublin Airport,Dublin,Ireland,7400000,32676251,-25276251,"-%77,35"
24,Malpensa Airport,Milan,Italy,7241766,28846299,-21604533,"-%74,90"
25,Manchester Airport,Manchester,United Kingdom,7037036,29367477,-22330441,"-%76,04"
26,Brussels Airport,Brussels,Belgium,6743395,26360003,-19616608,"-%74,42"
27,Düsseldorf Airport,Düsseldorf,Germany,6569728,24283967,-17714239,"-%72,95"
28,Stockholm Arlanda Airport,Stockholm,Sweden,6535776,25642623,-19106847,"-%74,51"
29,Palma de Mallorca Airport,Palma de Mallorca,Spain,6108486,29721142,-23612656,"-%79,45"
30,Berlin Tegel Airport,Berlin,Germany,5867601,24227570,-18359969,"-%75,78"
31,Geneva Airport,Geneva,Switzerland,5600914,17926629,-12325715,"-%68,76"
32,Warsaw Chopin Airport,Warsaw,Poland,5482000,18869302,-13387302,"-%70,95"
33,Luton Airport,London,United Kingdom,5472826,17999969,-12527143,"-%69,60"
34,Málaga Airport,Málaga,Spain,5161636,19858656,-14697020,"-%74,01"
35,Boryspil International Airport,Kyiv,Ukraine,5157848,15260281,-10102433,"-%66,20"
36,Helsinki Airport,Helsinki,Finland,5053134,21861082,-16807948,"-%76,89"
37,Simferopol International Airport,Simferopol,Russia[note 1],4630000,5146095,-516095,"-%10,03"
38,Nice Côte d'Azur Airport,Nice,France,4580459,14485423,-9904964,"-%68,38"
39,Hamburg Airport,Hamburg,Germany,4557372,17234229,-12676857,"-%73,56"
40,Henri Coandă International Airport,Bucharest,Romania,4456000,14707376,-10251376,"-%69,70"
41,Porto Airport,Porto,Portugal,4436000,13105339,-8669339,"-%66,15"
42,Budapest Ferenc Liszt International Airport,Budapest,Hungary,3859379,16173399,-12314020,"-%76,14"
43,Orio al Serio International Airport,Milan/Bergamo,Italy,3833063,13857257,-10024194,"-%72,34"
44,Alicante Airport,Alicante,Spain,3739499,15048240,-11308741,"-%75,15"
45,Václav Havel Airport Prague,Prague,Czech Republic,3665871,17804900,-14139029,"-%79,41"
46,Catania-Fontanarossa Airport,Catania,Italy,3654457,10223113,-6568656,"-%64,25"
47,Lyon–Saint-Exupéry Airport,Lyon,France,3553918,11037410,-7483492,"-%67,80"
48,Edinburgh Airport,Edinburgh,United Kingdom,3473652,14733966,-11260314,"-%76,42"
49,Marseille Provence Airport,Marseille,France,3359149,10151743,-6792594,"-%66,91"
50,Berlin Schönefeld Airport,Berlin,Germany,3223603,11417435,-8193832,"-%71,77"
51,Stuttgart Airport,Stuttgart,Germany,3213695,12732670,-9518975,"-%74,76"
52,Toulouse–Blagnac Airport,Toulouse,France,3130847,9620224,-6489377,"-%67,46"
53,Cologne Bonn Airport,Cologne/Bonn,Germany,3076587,12369000,-9292413,"-%75,13"
54,Krasnodar International Airport[note 2],Krasnodar,Russia,3076447,4631000,-1554553,"-%33,57"
55,Sofia Airport,Sofia,Bulgaria,2937846,7107096,-4169250,"-%58,66"
56,Birmingham Airport,Birmingham,United Kingdom,2865845,12454642,-9588797,"-%76,99"
57,Venice Marco Polo Airport,Venice,Italy,2799688,11561594,-8761906,"-%75,78"
58,Naples Airport,Naples,Italy,2779946,10860068,-8080122,"-%74,40"
59,"Bergen Airport, Flesland",Bergen,Norway,2711276,6505827,-3794551,"-%58,33"
60,Falcone–Borsellino Airport,Palermo,Italy,2701519,7018087,-4316568,"-%61,51"
61,EuroAirport Basel Mulhouse Freiburg,Basel/Mulhouse/Freiburg im Breisgau,France  Switzerland,2598980,9090125,-6491145,"-%71,41"
62,Kraków John Paul II International Airport,Kraków,Poland,2592972,8410817,-5817845,"-%69,17"
63,Brussels South Charleroi Airport,Charleroi,Belgium,2558046,8221450,-5663404,"-%68,89"
64,Bologna Guglielmo Marconi Airport,Bologna,Italy,2506258,9405920,-6899662,"-%73,35"
65,Valencia Airport,Valencia,Spain,2487496,8539579,-6052083,"-%70,87"
66,Heraklion International Airport,Heraklion,Greece,2378145,7839255,-5461110,"-%69,66"
67,Ufa International Airport,Ufa,Russia,2368689,3556533,-1187844,"-%33,40"
68,Nantes Atlantique Airport,Nantes,France,2327718,7227411,-4899693,"-%67,79"
69,"Thessaloniki Airport ""Macedonia""",Thessaloniki,Greece,2317336,6895331,-4577995,"-%66,39"
70,Seville Airport,Seville,Spain,2315610,7544357,-5228747,"-%69,31"
71,Linate Airport,Milan,Italy,2274202,6570984,-4296782,"-%65,39"
72,Bordeaux–Mérignac Airport,Bordeaux,France,2253000,7703135,-5450135,"-%70,75"
73,Faro Airport,Faro,Portugal,2208000,9008991,-6800991,"-%75,49"
74,Bristol Airport,Bristol,United Kingdom,2192725,8696653,-6503928,"-%74,79"
75,Kazan International Airport,Kazan,Russia,2171603,3470742,-1299139,"-%37,43"
76,Khrabrovo Airport,Kaliningrad,Russia,2117931,2370157,-252226,"-%10,64"
77,Eindhoven Airport,Eindhoven,Netherlands,2112785,6237755,-4124970,"-%66,13"
78,Ibiza Airport,Ibiza,Spain,2110348,8155626,-6045278,"-%74,12"
