country_name,indicator_name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.588417856,0.62434683,6.656819637,0.592101227,1.431379809,1.222644272,1.103866694,0.872437183,0.697099557,0.577472848,0.648992141,0.652997729,0.669491796,0.565134503,0.544819216,,
Albania,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.973752098,3.106053058,5.039727652,7.740827623,11.05575244,12.93272523,12.70311413,11.8840487,11.29884656,11.08147644,10.94478377,10.72924692,11.27637362,11.27327571,11.321095,11.13784397,11.49403907,12.62896317,12.29526821,12.53127428
Argentina,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93267885,3.859175251,4.178419836,4.842091938,5.957752458,7.319631294,6.603293157,5.912660422,3.326356601,2.482516031,2.664574793,3.136791851,3.799108896,4.667693222,4.857538768,4.886799793,4.831957977,5.349120033,5.880538535,6.190832402,5.720705108,6.352101245,5.956233262,6.914791974,6.566564938,5.314137303,5.510188205,4.525430786,4.074608208
Australia,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,34.23995736,36.45663877,37.16255331,38.01690003,38.56255409,38.5709261,39.24349243,39.88752927,42.57146256,43.35320421,42.23497789,42.2403572,44.59775431,45.0781186,46.94394022,46.89818732,48.08715642,51.44200607,54.15493013,56.56682601,59.97853796,63.56682663,67.96685324,70.24040554,73.94131631,81.43185259,90.63845936,96.81756413,101.4081379,106.2015019,109.2360966,107.0525187,111.9857774,110.9292061,108.8510998,109.4909737,111.6178784,115.5364487,121.0599428,123.6778165,122.9883654,122.2685657,119.0825929,122.5370458,118.208377,111.7519776
Austria,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.30016843,42.36094068,42.85522017,42.27778836,44.40850309,45.28141479,45.57623852,46.43696857,46.70569842,48.67704869,51.72370363,52.22601077,51.44483023,51.98087295,53.2647605,54.36155738,53.01091225,51.78797884,50.96875616,50.24222106,50.13807505,50.23014027,49.53706637,48.92698471,48.89019703,52.44244408,51.38758292,48.18717192
Bangladesh,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.514845055,6.959940015,7.038186356,6.410215532,6.525595908,6.891551692,7.595783344,7.58120687,7.317709341,7.092408255,7.243558855,6.911191802,6.831788483,7.247583904,7.074185526,6.94974922,6.827862776,6.822962923,6.866419264
Belgium,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.88621274,32.48260043,31.84344766,30.85794145,29.50009315,29.05220217,29.85102407,31.64371903,33.14989482,34.97992249,35.97403032,36.74569034,39.00099279,39.08857238,38.75868505,37.80625116,39.39791309,40.25863338,41.74934659,42.09346859,40.78930945,39.10832845,39.35335127,39.5418224,40.52119129,43.29644526,45.51885124,47.09343779,49.87149672,52.27997564,52.99498816,55.39460805,55.67579465,56.35690287,58.17237546,58.39880778,58.74350419,59.33333333,59.44471374,60.95686782,65.87100338,63.17925911,60.37422662
Brazil,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.21493952,12.62663033,11.70523291,12.53496259,12.61165001,12.20462053,13.88899777,11.10342647,10.59539706,10.11402537,11.60709999,13.4948014,14.83400776,17.03401473,19.06744575,20.99468383,22.1138403,23.22425236,24.51492909,25.70506257,26.87505851,27.96378524,27.76584667,27.92218639,28.41089293,29.95330574,32.20497748,32.93358702,34.55782604
Bulgaria,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.457355428,0.182887324,0.877453066,1.817835636,2.100392702,2.378676816,3.343371192,4.485053618,7.398620516,11.44405721,15.93372984,19.15649992,25.49906379,29.74574852,29.46552109,28.64151354,26.35420154,25.35552124,25.48581731,25.07275642,23.22785369,22.63108175,22.53898727,22.95043156,22.96504219,24.27746035,23.8232105,
Cameroon,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.905386971,1.648976207,1.944673236,1.809417849,1.795225022,1.916298069,1.943268798,2.016268245,2.239148143,3.211992678,3.377607323,3.850126394,3.680331589,3.82102468,3.477606918,3.398406852,3.583979001,4.140960124,4.446240012,,,
Canada,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,34.0661232,34.53723535,36.37033922,38.97368503,40.23641047,39.91408157,41.62759233,42.60335136,45.88430337,48.38569642,48.62555979,47.37655755,43.20443699,40.82863407,40.28804982,39.34145191,40.43901629,43.23300989,46.34865305,49.39479402,52.86109304,55.6325584,58.37842151,59.87520113,60.57062769,60.11904461,59.94329148,61.12947383,61.97870609,64.30410782,63.26728027,61.33973316,62.76819656,64.94352824,66.82104042,69.61079738,72.25719089,75.90023814,80.73305989,83.47107887,94.9052843,94.85639069,93.99288526,95.25908753,95.40217438,95.14015253,100.7071297,104.1811176,103.6025658,103.0395742,103.5175614,112.7224246,106.888897,102.3882642
Central African Republic,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.783425552,2.140419494,2.049329755,2.397798018,2.214409361,2.747576016,2.256149541,1.707603983,1.806585662,2.885840836,3.801301523,4.468534857,5.119972835,5.149546466,4.44378104,4.898122582,4.281224342,3.376389471,3.35949277,3.184022816,2.790091682,
Chad,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.722145957,1.620152713,1.362531506,1.086947455,0.810148142,0.724268588,0.756958764,1.387546176,1.101525154,1.277301263,1.383967333,1.918168335,2.336773565,2.318021395,2.544256155,2.977652656,2.81320294,2.772330984,3.242715721,3.614740359,4.320311362,
Chile,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.63087324,23.50343514,25.16578627,26.32994946,26.39243945,29.02713313,32.63188574,33.90597918,32.58307636,33.80560034,35.33999197,37.27983411,39.36766932,41.26133879,42.43025472,43.79889157,45.83608465,48.06803247,48.22874345,44.76741774,46.50681888
"China, People's Republic of","Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.80636067,18.76066964,17.94665264,23.53494494,27.56049987,28.10782365,29.93882609,33.30323766,35.80720133,39.05728088,44.73702145,48.87317295,52.3004632,55.84851836,61.61114798,62.08946131,61.45542602
Colombia,"Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.49263438,15.3706829,15.10495642,13.55720663,9.714239053,9.285033165,10.21241239,9.761170321,11.24363215,12.94674752,14.24821373,16.48441072,16.42324941,17.51324052,18.7031809,20.08891334,21.62429037,22.94202282,24.14516459,26.86903507,26.24914967,26.95943251,27.65459981,29.08192182,32.40298123,30.0720255,28.58613425
"Congo, Republic of ","Annual average of household debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.871977969,0.567850265,0.660744107,0.529656349,0.657279861,0.401358349,0.42105784,0.497975591,0.930632294,1.184321321,2.095023711,2.06645952,2.140858693,2.428648942,3.275677481,3.503032338,3.316960128,2.922662372,3.874400268,3.821409859,3.97673957,
