"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"xe86","emart24 (Tamarind Square) (Restaurant)","Korean","4.5","(500+)","Cyberjaya",""
"rs9m","McDonald's (Edusphere DT - 1010419)","Fast Food","4.5","(3000+)","Cyberjaya",""
"bo1b","Restoran AL Azad (Paragon Cyberjaya)","Malaysian","4.3","(56)","Cyberjaya",""
"d3pv","Wall's Ice Cream (Cyberjaya)","Ice Cream","4.8","(100+)","Cyberjaya",""
"tlyl","Restoran Nasi Kandar Sayat (Cyberjaya)","Asian","4.5","(1000+)","Cyberjaya",""
"h0kg","KOPI & WRAP","Asian","4.1","(100+)","Cyberjaya",""
"e3em","RESTORAN NASI KANDAR SHARIFF MAJU","Nasi Kandar","4.3","(500+)","Cyberjaya",""
"y7ul","Cube Thai Tomyam & Seafood","Fried Rice","4.6","(500+)","Cyberjaya",""
"p4je","Cube Bistro","Roti Canai","4.6","(3000+)","Cyberjaya",""
"yef2","ZUS Coffee (DPulze Cyberjaya)","Coffee","4.8","(4000+)","Cyberjaya",""
"t1fg","The Coffee Bean & Tea Leaf (D'PULZE CYBERJAYA)","Coffee","4.7","(1000+)","Cyberjaya",""
"nj5z","O'Briens Irish Sandwich Cafe (Wisma Shell)","Sandwiches","4.9","(100+)","Cyberjaya",""
"n7us","Restoran Masala Darbar","Indian","4.4","(1000+)","Cyberjaya",""
"d2kt","FamilyMart (Famima - D'Pulze )","Japanese","4.4","(2000+)","Cyberjaya",""
"o4nz","Nasi Kandar Pelita (Cyberjaya)","Chicken","4.4","(5000+)","Cyberjaya",""
"n3vh","All In All Cafe","Malaysian","4.1","(1000+)","Cyberjaya",""
"rzeo","Fruitbox Glomac Cyberjaya","Asian","4.7","(100+)","Cyberjaya",""
"s8bx","Restoran Nasi Kandar Rasa Seri Alamanda","Nasi Kandar","4.2","(500+)","Cyberjaya",""
"mlz7","Abe Nasi Lemak Ori (Cyberjaya)","Nasi Lemak","4.6","(1000+)","Cyberjaya",""
"qcgv","Dunkin' (Shell Cyberjaya)","Desserts","4.8","(100+)","Cyberjaya",""
"goko","Chennai Spice Express","Asian","2","(25)","Cyberjaya",""
"jozf","Abe Roti Canai @ Neo Cyber","Asian","4.9","(34)","Cyberjaya",""
"grcy","d banana leaf Restaurant","Indian","4.4","(100+)","Cyberjaya",""
"s7hk","Restoran Dapur Ikan Bakar Eman","Malaysian","4.6","(3000+)","Cyberjaya",""
"g8gs","JMT Restoran Nasi Kandar (Cyberjaya)","Roti Canai","4.5","(1000+)","Cyberjaya",""
"n0zy","Mr Kabab & Biryani","Curry","4.6","(1000+)","Cyberjaya",""
"n3jt","Restoran Al-Naz Maju","Roti Canai","4.3","(1000+)","Cyberjaya",""
"r5dj","Raihana One Bistro","Roti Canai","4.6","(2000+)","Cyberjaya",""
"h5r0","Restoran Zarrin Maju","Indian","3.9","(100+)","Cyberjaya",""
"y8p1","DRAGON MAMA FLAVOUR CAFE","Chinese","4.8","(22)","Cyberjaya",""
"cmu0","Texas Chicken (Prima 11, Cyberjaya)","Fast Food","4.5","(4000+)","Cyberjaya",""
"p2dc","Restoran Sebulek - Shaftsbury Square","Beverages","4.4","(75)","Cyberjaya",""
"n0jn","Monjo Coffee","European","4.6","(100+)","Cyberjaya",""
"n1fh","Burger King (Cyberjaya)","Burgers","4.6","(3000+)","Cyberjaya",""
"wbzf","ZAT CORNER","Roti Canai","4.4","(2000+)","Cyberjaya",""
"a3qi","Restoran Baraketh Asrin","Roti Canai","4.7","(2000+)","Cyberjaya",""
"d1xx","The Laguna","Asian","4.6","(100+)","Cyberjaya",""
"mwvg","Makanan Arab","Mediterranean","5","(2)","Cyberjaya",""
"q3uh","Al Hasan Shawarma","Middle Eastern","4.3","(100+)","Cyberjaya",""
"b2ed","Khan Grills & Pizzas","Western","4.1","(100+)","Cyberjaya",""
"hbvo","RS Galaxy Restaurant (Menara Paragon)","Indian","4.4","(3)","Cyberjaya",""
"cwcu","EASY BUSY KITCHEN CYBERJAYA","Malaysian","4.6","(51)","Cyberjaya",""
"o8bv","Ema’s Place","Malaysian","4","(100+)","Cyberjaya",""
"feo1","Cyberia Club HOuse Cafe","Chicken","3.9","(100+)","Cyberjaya",""
"hg2r","HABEBEE LOUNGE","Chicken","4.3","(100+)","Cyberjaya",""
"qnfp","KFC (Edusphere DT Cyberjaya)","Fried Chicken","4.4","(2000+)","Cyberjaya",""
"hjqs","MR ROASTED EASY BUSY KITCHEN CYBERJAYA","Malaysian","4.6","(49)","Cyberjaya",""
"apyd","Paragon Cafe","Asian","3.7","(6)","Cyberjaya",""
"t7kj","Rumah Ayam Bakar","Chicken","4.8","(1000+)","Cyberjaya",""
"ibj9","Nasi Goreng, by Rumah Nasi (Cyberjaya)","Briyani","2.1","(13)","Cyberjaya",""
"vfv4","RESTAURANT MEYDAN HADRAMOT","Middle Eastern","2.2","(2)","Cyberjaya",""
"bf6e","Dondon Break","Asian","4.7","(10)","Cyberjaya",""
"xzmr","NASI LEMAK TERBAIK","Nasi Lemak","3.7","(30)","Cyberjaya",""
"zsan","PAK LEMAN AYAM KUNYIT","Chicken","4.6","(100+)","Cyberjaya",""
"x7uk","THE ARC CAFE BARAKAT","Fried Rice","4.1","(100+)","Cyberjaya",""
"kic6","Shahi Dasterkhwan","Malaysian","5","(1)","Cyberjaya",""
"srvg","Mee Goreng Bos! (Cyberjaya)","Noodles","3.6","(32)","Cyberjaya",""
"kxqy","Habibi Shawarma","Shawarma","4.2","(84)","Cyberjaya",""
"gpvf","Nasi Goreng Kaw - Persiaran Bestari","Malaysian","5","(1)","Cyberjaya",""
"ho5h","The arc shawarma","13645 min","4.2","(100+)","Cyberjaya",""
"k56g","Aldar Lounge","International","4.9","(92)","Cyberjaya",""
"zcg5","NASI DAGING PONGSU SERIBU (CYBERJAYA)","Malaysian","4.5","(100+)","Cyberjaya",""
"ngjt","Imperium Realtor Corner","Nasi Lemak","4.8","(17)","Cyberjaya",""
"qfct","Rasa Shiokkk Malaysian Flavour","Malaysian","2.5","(6)","Cyberjaya",""
"w9u5","Aiskrim Malaysia By Mama M&M","Malaysian","5","(6)","Cyberjaya",""
"n6rq","The Arc Cafeteria","Fried Rice","4.3","(1000+)","Cyberjaya",""
"h7lc","The Khukri Chulo Restaurant","Chicken Rice","4.8","(62)","Cyberjaya",""
"zh1d","Cafe Nasi Goreng Delicious","Malaysian","4","(1)","Cyberjaya",""
"eb6o","Baytana Restaurant","Shawarma","4.6","(100+)","Cyberjaya",""
"g7sx","Cafe Nasi Ayam","Fried Rice","4.5","(500+)","Cyberjaya",""
"b0nw","The Garrison (MMU)","Coffee","4.9","(1000+)","Cyberjaya",""
"ontc","Dapur Chilli","Malaysian","4.6","(88)","Cyberjaya",""
"cena","SukhoThai Cuisine","Thai","4.1","(79)","Cyberjaya",""
"zey3","OMGFOOD Sandwiches","Sandwiches","4.5","(100+)","Cyberjaya",""
"xcql","Shisha Town Cafe (Tamarind Square)","Chicken","4.2","(68)","Cyberjaya",""
"ar61","Pasta Jur","Asian","4.3","(20)","Cyberjaya",""
"tsrj","Thai Luck (Village Grocer, Tamarind Square)","Soups","4.8","(500+)","Cyberjaya",""
"juiq","Original Nyonya","Tom Yum","4.7","(100+)","Cyberjaya",""
"nl6m","Teja Cafe (Cyberjaya)","Malaysian","4.4","(20)","Cyberjaya",""
"qimg","Ayam Penyet Best Station (Tamarind Square)","0 min","5","(5)","Cyberjaya",""
"myhw","indobowl (cyberjaya)","Asian","4.8","(97)","Cyberjaya",""
"z4ri","Accolades Lounge","Malaysian","4.4","(100+)","Cyberjaya",""
"p5xk","Roiyaru Sushi","Sushi","4.8","(500+)","Cyberjaya",""
"tirw","Kopi Saigon Tamarind Square, Cyberjaya","Coffee","4.7","(100+)","Cyberjaya",""
"l44k","BMS Organics (Tamarind Square)","Healthy","4.3","(51)","Cyberjaya",""
"l5b9","Alcea Coffee","Western","4.8","(100+)","Cyberjaya",""
"rri0","Barba Bros & Cuz","Pasta","4.7","(100+)","Cyberjaya",""
"zotj","WOW KOPI TAMARIND SQUARE CYBERJAYA","Beverages","5","(2)","Cyberjaya",""
"d7go","Lauk Kampung (Tamarind Square)","Malaysian","4.4","(1000+)","Cyberjaya",""
"ho32","The Seasolt Cafe","Western","4.9","(44)","Cyberjaya",""
"r4st","Burger & Taco","Burgers","4.7","(500+)","Cyberjaya",""
"h3cc","Boat Noodle (Tamarind Cyberjaya)","Chicken","4.8","(500+)","Cyberjaya",""
"oejg","KAKATOO - TAMARIND SQUARE","Asian","5","(10)","Cyberjaya",""
"mdle","Texas BBQ Barn","Asian","4.7","(3)","Cyberjaya",""
"d2t3","Hot & Roll (Tamarind Square)","Wraps","4.8","(100+)","Cyberjaya",""
"nlsl","MAKDAS FRIED CHICKEN & PIZZA","Fast Food","4.7","(100+)","Cyberjaya",""
"nfsq","Happy Lemon (Tamarind Square)","Beverages","4.4","(66)","Cyberjaya",""
"laee","BKK Fried Banana (Tamarind Square)","Desserts","5","(26)","Cyberjaya",""
"r9of","Diem Canteen","Malaysian","4.8","(500+)","Cyberjaya",""
"o8cs","10 Gram (Cyberjaya)","European","4.5","(100+)","Cyberjaya",""
"om67","COSMO KITCHEN","Japanese","4.6","(100+)","Cyberjaya",""
"ilge","Fuel Shack (Tamarind Square Cyberjaya)","Fast Food","4.9","(100+)","Cyberjaya",""
"a0iw","ChaTraMue (Tamarind Square)","Beverages","4.8","(10)","Cyberjaya",""
"p8jd","DOKEBI CHICKEN (Tamarind Square)","Korean","4.6","(1000+)","Cyberjaya",""
"bmb4","Pekan Ipoh Kopitiam","Noodles","4.4","(100+)","Cyberjaya",""
"xssd","The 92’S","Italian","3.4","(4)","Cyberjaya",""
"d1hu","Padang Ijau Restaurant","0 min","4.3","(100+)","Cyberjaya",""
"k6mg","HERBS & BUTTER ENT","Asian","4.8","(100+)","Cyberjaya",""
"r92l","Boss Salai","Asian","4.4","(9)","Cyberjaya",""
"lw0j","Warong Geprek (Cyberjaya)","Chicken","4.6","(2000+)","Cyberjaya",""
"l2lo","OYSTERBOX (Malakat Mall)","0 min","4.6","(100+)","Cyberjaya",""
"k0im","Bananabites@Cyber","Pisang Goreng","4.8","(100+)","Cyberjaya",""
"pdy2","Leeya Kitchen","Asian","4.9","(4)","Cyberjaya",""
"o3ms","TakoTao (Tamarind square)","Sandwiches","4.7","(100+)","Cyberjaya",""
"d5r6","ShakeBites","Cakes","5","(6)","Cyberjaya",""
"f9r2","Fastmart (Tamarind Square)","Burgers","3.4","(9)","Cyberjaya",""
"ng9o","Richiamo Cyberjaya","Malaysian","4.7","(93)","Cyberjaya",""
"yb2n","FOUR SEASONS","Chinese","4.2","(100+)","Cyberjaya",""
"vc5r","SKY MALAYSIA RESTAURANT","Fried Rice","4.2","(64)","Cyberjaya",""
"o5ub","Auntie Anne's (Dpulze Shopping Centre)","Bread","4.7","(2000+)","Cyberjaya",""
"eut2","Gigi Coffee (Cyberjaya)","Coffee","4.7","(500+)","Cyberjaya",""
"y35l","Jaosamut Restaurant","Thai","4.3","(79)","Cyberjaya",""
"l7tb","Salam Noodles (CBD Perdana)","Malaysian","4.5","(1000+)","Cyberjaya",""
"xuat","Nahawand","Shawarma","4.6","(100+)","Cyberjaya",""
"tn2w","NASI GANJA PEGHELEH","Asian","4.9","(3)","Cyberjaya",""
"h4tb","Nasi Kukus Tonggek (Dpulze Mall)","Nasi Kukus","4.2","(3000+)","Cyberjaya",""
