country_name ,indicator_name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,"Annual average of private debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,4.499554274,4.531147762,4.557513866,3.363277213,3.64647453,3.812747603,2.741547072,2.50790927,2.888256554,3.071141048,3.215471245,2.786504995,3.684812752,3.852333438,3.696618071,2.568539987,2.216735305,2.062546527,2.447827523,2.656655966,2.787339813,2.4174255,2.250316084,,2.666052615,3.800424408,4.802767661,7.82286546,12.41817179,11.83211829,14.09523154,,,,,,,,,,,,,,,,4.764250702,7.479401453,8.847823234,10.1315606,11.38699982,4.796746452,4.047370777,4.123996033,3.637246362,3.702463346,3.373760337,3.337243307,3.135159844,2.821017933,2.569163406,,
Albania,"Annual average of private debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.518591196,11.95454371,17.70844773,24.15325573,32.03634912,39.29557518,41.10718997,41.91283198,46.98000787,47.63299868,46.93994894,47.04211949,44.53994301,43.17974317,40.76613925,36.65512896,37.2821396,41.26192085,38.49893003,36.79942013
Algeria,"Annual average of private debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.587814553,9.579699261,8.033063197,9.476930873,9.902384322,9.289775155,11.1888251,15.417453,13.56183822,14.02327641,13.19490144,13.09336893,13.67035535,13.01664759,16.3535653,15.35128536,13.76451019,13.33729367,16.28312859,17.93327833,21.26426335,22.40519502,24.3043218,24.39756509,25.1708486,28.45602828,24.8701683,20.27289632
Argentina,"Annual average of private debt, loans and debt securities (Percent of GDP)",66.64647606,63.24190657,67.33506377,67.4134341,72.98278761,73.80114885,69.8482571,66.21671339,61.55041884,39.05331217,40.50622588,42.5027736,35.98569653,34.33515845,33.46155714,28.11646895,29.10711736,29.88901502,36.80116258,41.43511523,44.03377249,41.49642963,39.51629048,39.05029495,44.98564946,38.22002437,34.88521196,46.64202317,51.97013597,60.60693257,62.53775643,65.66672808,67.1021833,47.73524036,38.33985288,30.98049254,30.89978159,37.3154674,32.26736164,70.98688001,18.25053582,17.1316409,19.17332958,22.51776054,24.20532727,24.75448923,25.62845013,28.67044752,30.99931125,31.08861416,28.4974918,38.20265348,61.06385802,41.69340094,35.11761388,29.25064754,26.90175581,25.12338285,23.17050011,22.72400762,21.06812085,21.05748784,22.0256252,22.75750038,19.64935687,21.44497264,20.75310012,24.89416856,28.98000316,27.96883664,29.67077864,22.88875675,22.30092917
Australia,"Annual average of private debt, loans and debt securities (Percent of GDP)",,,,52.22021863,56.32135823,60.89421337,56.85748781,55.82796192,56.36024463,51.18921399,53.83835512,55.44362821,53.64956205,53.73026328,54.23723455,57.8151395,59.82832813,61.75830247,63.80733721,62.86093362,61.87639267,61.25245073,62.16118096,66.6174464,71.76242647,71.06695112,70.37277942,69.20437482,72.24434013,73.80527328,76.4848338,79.16579056,83.04438342,86.59376104,87.35367126,94.16797554,105.6056364,111.3130705,116.9718509,118.781572,120.4730502,120.3539632,117.830511,112.5934644,112.3965522,113.9623727,115.7057764,121.1301594,126.158665,131.2287719,138.8723811,139.6647233,146.0923433,153.9204501,160.4243397,171.2210331,180.3470739,188.6862387,189.4693085,187.6426864,179.2835437,175.0751978,177.0025746,182.4306939,188.7717741,199.3808089,200.6725207,195.7835979,195.4361219,191.4177078,193.8346989,183.6661047,173.6165353
Austria,"Annual average of private debt, loans and debt securities (Percent of GDP)",18.32033781,18.3037503,16.40164765,18.71455734,21.89714982,23.35907308,23.83871828,24.83815744,26.71942905,28.81856805,30.83114985,32.31086706,33.36514007,34.52188782,36.75783905,39.97319479,42.57449814,43.6507506,45.08086195,48.11070956,50.04654886,53.23250442,56.38652771,55.21451642,55.52718273,59.19172554,65.21788134,67.71869485,73.78815387,78.73860511,82.72653765,86.49293343,85.57854975,83.67848415,86.28936091,87.59917121,89.26760691,91.86642861,94.0717955,97.41797692,100.9636625,102.5952072,104.3654724,105.1697143,104.7748001,106.4668472,108.6387262,113.7169769,114.2377816,120.7487248,127.8360573,129.4007482,129.1603028,131.0004852,129.9344786,133.7687691,136.0940228,140.2664995,142.4643563,145.0253624,147.4200785,145.2339449,143.4688694,146.4906014,141.9488327,141.6847218,142.0267444,141.5676987,141.8792491,141.5483461,152.5674958,151.9485351,143.3742192
Azerbaijan,"Annual average of private debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.26304923,11.77443035,2.16216996,1.45496697,2.018226521,2.397460557,3.127621549,3.661808605,7.052269002,6.324391801,7.063051386,7.899154687,12.99289417,14.1987397,14.82723373,16.3025867,18.8496393,22.12976707,20.4143566,19.13782873,21.18114887,28.49804008,34.05622878,46.08859808,43.68974885,34.54494881,33.13160162,34.46107956,40.16882962,33.37301625,27.95166899
"Bahamas, The","Annual average of private debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.7969863,213.6066032,271.2217652,223.8759265,188.4838188,227.7255927,181.7701757,187.966238,231.6977548,202.573466,249.8425443,242.1686301,308.3022671,272.4720203,300.5792576,298.1963783,325.3617557,295.6754945,348.1510956,322.8475262,350.6388183,320.7925432,285.6661952,285.6292809,385.3705551,360.61076,277.1921971,236.1924816
Bahrain,"Annual average of private debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,14.92929084,9.752578537,11.02780084,15.62571217,19.90401673,20.17131457,28.52591502,34.56247282,38.133939,44.70574239,56.18706074,61.46717558,52.72660885,46.8919246,48.16030115,48.99528486,48.77899397,51.83894227,56.38094084,57.30230825,56.76870251,68.63038235,55.73682988,44.52080254,41.8775373,38.79557545,47.69175177,50.44280283,55.4874112,57.92060316,56.67740965,54.95999042,58.37866876,62.14223169,61.21349407,56.17925627,64.33439992,56.82589458,53.78514176,57.13632881,56.18562098,62.16705328,72.95521212,78.44125288,88.23210269,86.48888004,83.21853401,82.18802821,84.71112437,77.85266744,89.6128189,85.20539126,85.04335782,89.86732349,92.02353286,107.3388666,101.8618172,91.30899431
Bangladesh,"Annual average of private debt, loans and debt securities (Percent of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,1.754136275,1.358220669,2.061323557,3.277953421,3.200949366,3.709710611,4.218952962,5.0883903,5.368455502,6.767429898,8.863489157,9.825492846,9.617866555,9.998929472,10.92401886,12.11082203,12.17556506,11.637748,10.6330549,11.18041146,11.89453201,15.26493589,15.78744035,16.68453727,17.11028155,17.26266127,17.94149862,19.91758659,21.59122632,21.44894255,23.00325229,24.23407607,25.71466153,26.43920677,28.02917568,29.77364961,33.49438921,34.67894297,35.10688045,34.03751035,35.72738209,36.32359891,37.15370449,39.52696868,39.29559859,38.37858125,38.44018807,38.2671638,38.17774602
